,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
0,359.0,1694.0,0.0,,31.0,4128.0,608.0,0.0,243.0,448.0,296.0,202001010000,202001010100,1018.0,744.0,6789.0,7807.0,13,10
1,357.0,1629.0,0.0,,32.0,4128.0,609.0,0.0,242.0,356.0,197.0,202001010100,202001010200,827.0,553.0,6723.0,7550.0,11,7
2,352.0,1678.0,0.0,,32.0,4128.0,626.0,0.0,241.0,271.0,191.0,202001010200,202001010300,735.0,462.0,6784.0,7519.0,10,6
3,353.0,1705.0,0.0,,32.0,4129.0,630.0,0.0,243.0,180.0,168.0,202001010300,202001010400,623.0,348.0,6817.0,7440.0,8,5
4,355.0,1685.0,0.0,,32.0,4130.0,626.0,0.0,242.0,125.0,166.0,202001010400,202001010500,565.0,291.0,6796.0,7361.0,8,4
5,362.0,1667.0,0.0,,32.0,4131.0,650.0,0.0,246.0,95.0,127.0,202001010500,202001010600,500.0,222.0,6810.0,7310.0,7,3
6,362.0,1676.0,0.0,,32.0,4131.0,670.0,0.0,251.0,117.0,129.0,202001010600,202001010700,529.0,246.0,6839.0,7368.0,7,3
7,360.0,1603.0,0.0,,31.0,4131.0,673.0,0.0,257.0,229.0,147.0,202001010700,202001010800,664.0,376.0,6767.0,7431.0,9,5
8,359.0,1653.0,0.0,,31.0,4132.0,670.0,73.0,256.0,260.0,110.0,202001010800,202001010900,730.0,443.0,6814.0,7544.0,10,6
9,359.0,1702.0,0.0,,31.0,4132.0,686.0,255.0,259.0,254.0,105.0,202001010900,202001011000,904.0,614.0,6879.0,7783.0,12,8
10,364.0,1743.0,0.0,,31.0,4131.0,697.0,425.0,256.0,220.0,112.0,202001011000,202001011100,1044.0,757.0,6935.0,7979.0,13,9
11,357.0,1751.0,0.0,,31.0,4130.0,743.0,481.0,260.0,210.0,69.0,202001011100,202001011200,1051.0,760.0,6981.0,8032.0,13,9
12,357.0,1702.0,0.0,,31.0,4131.0,742.0,485.0,259.0,188.0,52.0,202001011200,202001011300,1015.0,725.0,6932.0,7947.0,13,9
13,360.0,1736.0,0.0,,32.0,4132.0,703.0,354.0,248.0,244.0,73.0,202001011300,202001011400,951.0,671.0,6931.0,7882.0,12,9
14,358.0,1767.0,0.0,,32.0,4133.0,699.0,154.0,252.0,267.0,65.0,202001011400,202001011500,770.0,486.0,6957.0,7727.0,10,6
15,359.0,1745.0,0.0,49.0,32.0,4131.0,696.0,17.0,258.0,237.0,79.0,202001011500,202001011600,672.0,333.0,6931.0,7603.0,9,4
16,357.0,1883.0,0.0,70.0,32.0,4130.0,691.0,0.0,255.0,265.0,103.0,202001011600,202001011700,725.0,368.0,7061.0,7786.0,9,5
17,358.0,2325.0,0.0,362.0,32.0,4130.0,624.0,0.0,254.0,260.0,94.0,202001011700,202001011800,1002.0,354.0,7437.0,8439.0,12,4
18,360.0,2424.0,0.0,397.0,32.0,4131.0,601.0,0.0,256.0,214.0,115.0,202001011800,202001011900,1014.0,329.0,7516.0,8530.0,12,4
19,360.0,2450.0,0.0,309.0,32.0,4134.0,578.0,0.0,249.0,201.0,129.0,202001011900,202001012000,920.0,330.0,7522.0,8442.0,11,4
20,358.0,2315.0,0.0,3.0,32.0,4134.0,585.0,0.0,243.0,224.0,106.0,202001012000,202001012100,608.0,330.0,7392.0,8000.0,8,4
21,356.0,2301.0,0.0,85.0,32.0,4135.0,595.0,0.0,243.0,191.0,102.0,202001012100,202001012200,653.0,293.0,7387.0,8040.0,8,4
22,356.0,2345.0,0.0,296.0,33.0,4134.0,647.0,0.0,249.0,125.0,96.0,202001012200,202001012300,799.0,221.0,7482.0,8281.0,10,3
23,357.0,1952.0,0.0,8.0,33.0,4133.0,659.0,0.0,257.0,143.0,89.0,202001012300,202001020000,530.0,232.0,7101.0,7631.0,7,3
24,362.0,1754.0,0.0,,33.0,4132.0,604.0,0.0,259.0,144.0,94.0,202001020000,202001020100,530.0,238.0,6852.0,7382.0,7,3
25,356.0,1754.0,0.0,,33.0,4132.0,616.0,0.0,260.0,162.0,87.0,202001020100,202001020200,542.0,249.0,6858.0,7400.0,7,3
26,355.0,1632.0,0.0,,33.0,4132.0,635.0,0.0,258.0,214.0,59.0,202001020200,202001020300,564.0,273.0,6754.0,7318.0,8,4
27,356.0,1612.0,0.0,,33.0,4133.0,614.0,0.0,260.0,227.0,48.0,202001020300,202001020400,568.0,275.0,6715.0,7283.0,8,4
28,356.0,1861.0,0.0,,32.0,4132.0,615.0,0.0,259.0,326.0,60.0,202001020400,202001020500,677.0,386.0,6964.0,7641.0,9,5
29,357.0,2188.0,0.0,,32.0,4132.0,634.0,0.0,254.0,443.0,66.0,202001020500,202001020600,795.0,509.0,7311.0,8106.0,10,6
30,355.0,2581.0,0.0,148.0,32.0,4131.0,721.0,0.0,249.0,496.0,85.0,202001020600,202001020700,1010.0,581.0,7788.0,8798.0,11,7
31,364.0,2772.0,0.0,98.0,32.0,4134.0,751.0,0.0,245.0,508.0,138.0,202001020700,202001020800,1021.0,646.0,8021.0,9042.0,11,7
32,339.0,2784.0,0.0,110.0,33.0,4133.0,751.0,65.0,241.0,574.0,195.0,202001020800,202001020900,1218.0,834.0,8007.0,9225.0,13,9
33,332.0,2776.0,0.0,98.0,33.0,4128.0,731.0,161.0,242.0,576.0,167.0,202001020900,202001021000,1277.0,904.0,7967.0,9244.0,14,10
34,355.0,2921.0,0.0,270.0,34.0,4126.0,758.0,219.0,241.0,540.0,171.0,202001021000,202001021100,1475.0,930.0,8160.0,9635.0,15,10
35,357.0,2951.0,0.0,178.0,34.0,4125.0,790.0,234.0,245.0,696.0,157.0,202001021100,202001021200,1544.0,1087.0,8223.0,9767.0,16,11
36,357.0,2723.0,0.0,29.0,34.0,4125.0,789.0,213.0,242.0,807.0,170.0,202001021200,202001021300,1495.0,1190.0,7994.0,9489.0,16,13
37,358.0,2847.0,0.0,,34.0,4126.0,784.0,159.0,250.0,993.0,228.0,202001021300,202001021400,1664.0,1380.0,8115.0,9779.0,17,14
38,362.0,2941.0,0.0,496.0,34.0,4123.0,806.0,75.0,260.0,1030.0,274.0,202001021400,202001021500,2169.0,1379.0,8232.0,10401.0,21,13
39,363.0,2870.0,0.0,414.0,33.0,4124.0,789.0,8.0,264.0,1207.0,283.0,202001021500,202001021600,2209.0,1498.0,8146.0,10355.0,21,14
40,361.0,2875.0,0.0,314.0,33.0,4122.0,749.0,0.0,262.0,1396.0,366.0,202001021600,202001021700,2371.0,1762.0,8107.0,10478.0,23,17
41,358.0,2911.0,0.0,463.0,33.0,4122.0,685.0,0.0,261.0,1420.0,440.0,202001021700,202001021800,2617.0,1860.0,8076.0,10693.0,24,17
42,358.0,2874.0,0.0,482.0,34.0,4123.0,671.0,0.0,266.0,1455.0,566.0,202001021800,202001021900,2803.0,2021.0,8026.0,10829.0,26,19
43,354.0,2424.0,0.0,156.0,34.0,4123.0,681.0,0.0,270.0,1467.0,678.0,202001021900,202001022000,2605.0,2145.0,7582.0,10187.0,26,21
44,355.0,2267.0,0.0,,34.0,4124.0,635.0,0.0,271.0,1447.0,754.0,202001022000,202001022100,2506.0,2201.0,7381.0,9887.0,25,22
45,355.0,2104.0,0.0,,34.0,4122.0,612.0,0.0,272.0,1443.0,816.0,202001022100,202001022200,2565.0,2259.0,7193.0,9758.0,26,23
46,356.0,1908.0,0.0,,34.0,4121.0,660.0,0.0,272.0,1436.0,905.0,202001022200,202001022300,2647.0,2341.0,7045.0,9692.0,27,24
47,357.0,1821.0,0.0,,34.0,4119.0,659.0,0.0,274.0,1439.0,886.0,202001022300,202001030000,2633.0,2325.0,6956.0,9589.0,27,24
48,353.0,1817.0,0.0,,33.0,4118.0,655.0,0.0,271.0,1420.0,909.0,202001030000,202001030100,2633.0,2329.0,6943.0,9576.0,27,24
49,353.0,1705.0,0.0,,33.0,4118.0,634.0,0.0,274.0,1421.0,985.0,202001030100,202001030200,2713.0,2406.0,6810.0,9523.0,28,25
50,351.0,1715.0,0.0,,33.0,4117.0,630.0,0.0,269.0,1394.0,977.0,202001030200,202001030300,2673.0,2371.0,6813.0,9486.0,28,25
51,352.0,1883.0,0.0,,33.0,4115.0,613.0,0.0,271.0,1379.0,988.0,202001030300,202001030400,2671.0,2367.0,6963.0,9634.0,28,25
52,352.0,1917.0,0.0,,33.0,4116.0,611.0,0.0,270.0,1324.0,1063.0,202001030400,202001030500,2690.0,2387.0,6996.0,9686.0,28,25
53,354.0,2055.0,0.0,,34.0,4117.0,662.0,0.0,271.0,1437.0,1180.0,202001030500,202001030600,2922.0,2617.0,7188.0,10110.0,29,26
54,357.0,2770.0,0.0,0.0,33.0,4120.0,699.0,0.0,266.0,1478.0,1198.0,202001030600,202001030700,2975.0,2676.0,7946.0,10921.0,27,25
55,359.0,3083.0,0.0,,33.0,4123.0,717.0,0.0,266.0,1474.0,1129.0,202001030700,202001030800,2902.0,2603.0,8282.0,11184.0,26,23
56,357.0,3324.0,0.0,52.0,33.0,4123.0,754.0,34.0,267.0,1464.0,1211.0,202001030800,202001030900,3061.0,2709.0,8558.0,11619.0,26,23
57,360.0,3377.0,0.0,,33.0,4121.0,743.0,104.0,263.0,1461.0,1140.0,202001030900,202001031000,3001.0,2705.0,8601.0,11602.0,26,23
58,360.0,3209.0,0.0,,33.0,4120.0,736.0,135.0,263.0,1450.0,1129.0,202001031000,202001031100,3010.0,2714.0,8425.0,11435.0,26,24
59,362.0,3153.0,0.0,,33.0,4120.0,735.0,153.0,269.0,1449.0,1243.0,202001031100,202001031200,3147.0,2845.0,8370.0,11517.0,27,25
60,357.0,3069.0,0.0,,34.0,4118.0,738.0,154.0,273.0,1444.0,1312.0,202001031200,202001031300,3217.0,2910.0,8282.0,11499.0,28,25
61,356.0,3322.0,0.0,67.0,34.0,4116.0,750.0,104.0,269.0,1339.0,1293.0,202001031300,202001031400,3106.0,2736.0,8544.0,11650.0,27,23
62,358.0,3292.0,0.0,,34.0,4118.0,752.0,46.0,263.0,1413.0,1161.0,202001031400,202001031500,2917.0,2620.0,8520.0,11437.0,26,23
63,356.0,3299.0,0.0,9.0,34.0,4121.0,763.0,5.0,268.0,1290.0,974.0,202001031500,202001031600,2580.0,2269.0,8539.0,11119.0,23,20
64,358.0,3490.0,0.0,344.0,35.0,4122.0,800.0,0.0,268.0,1149.0,878.0,202001031600,202001031700,2674.0,2027.0,8770.0,11444.0,23,18
65,361.0,3489.0,0.0,562.0,34.0,4122.0,782.0,0.0,270.0,829.0,852.0,202001031700,202001031800,2547.0,1681.0,8754.0,11301.0,23,15
66,364.0,3590.0,0.0,576.0,34.0,4124.0,774.0,0.0,274.0,691.0,612.0,202001031800,202001031900,2187.0,1303.0,8852.0,11039.0,20,12
67,363.0,3458.0,0.0,109.0,34.0,4126.0,767.0,0.0,274.0,637.0,499.0,202001031900,202001032000,1553.0,1136.0,8714.0,10267.0,15,11
68,366.0,3034.0,0.0,28.0,33.0,4128.0,744.0,0.0,272.0,645.0,491.0,202001032000,202001032100,1469.0,1136.0,8272.0,9741.0,15,12
69,362.0,2573.0,0.0,,33.0,4127.0,691.0,0.0,275.0,874.0,412.0,202001032100,202001032200,1594.0,1286.0,7753.0,9347.0,17,14
70,361.0,2594.0,0.0,,33.0,4126.0,658.0,0.0,273.0,866.0,329.0,202001032200,202001032300,1501.0,1195.0,7739.0,9240.0,16,13
71,357.0,2053.0,0.0,80.0,33.0,4124.0,667.0,0.0,262.0,747.0,322.0,202001032300,202001040000,1444.0,1069.0,7201.0,8645.0,17,12
72,361.0,1885.0,0.0,,33.0,4125.0,641.0,0.0,255.0,1095.0,299.0,202001040000,202001040100,1682.0,1394.0,7012.0,8694.0,19,16
73,362.0,2025.0,0.0,,33.0,4127.0,644.0,0.0,254.0,854.0,387.0,202001040100,202001040200,1528.0,1241.0,7158.0,8686.0,18,14
74,362.0,1912.0,0.0,,33.0,4127.0,698.0,0.0,259.0,897.0,466.0,202001040200,202001040300,1655.0,1363.0,7099.0,8754.0,19,16
75,362.0,1952.0,0.0,,33.0,4126.0,671.0,0.0,260.0,876.0,480.0,202001040300,202001040400,1649.0,1356.0,7111.0,8760.0,19,15
76,357.0,1884.0,0.0,,33.0,4124.0,671.0,0.0,259.0,1098.0,571.0,202001040400,202001040500,1961.0,1669.0,7036.0,8997.0,22,19
77,358.0,1929.0,0.0,,33.0,4128.0,670.0,0.0,259.0,1015.0,597.0,202001040500,202001040600,1904.0,1612.0,7085.0,8989.0,21,18
78,359.0,1999.0,0.0,1.0,33.0,4128.0,699.0,0.0,256.0,1105.0,649.0,202001040600,202001040700,2044.0,1754.0,7185.0,9229.0,22,19
79,358.0,2234.0,0.0,,33.0,4127.0,744.0,0.0,256.0,1377.0,658.0,202001040700,202001040800,2324.0,2035.0,7463.0,9787.0,24,21
80,290.0,2537.0,0.0,,33.0,4127.0,701.0,104.0,258.0,1456.0,698.0,202001040800,202001040900,2549.0,2258.0,7655.0,10204.0,25,22
81,275.0,2995.0,0.0,93.0,33.0,4128.0,718.0,401.0,251.0,1453.0,647.0,202001040900,202001041000,2878.0,2501.0,8116.0,10994.0,26,23
82,281.0,2798.0,0.0,,33.0,4128.0,735.0,720.0,252.0,1462.0,541.0,202001041000,202001041100,3008.0,2723.0,7942.0,10950.0,27,25
83,280.0,2718.0,0.0,,33.0,4126.0,724.0,751.0,255.0,1455.0,545.0,202001041100,202001041200,3039.0,2751.0,7848.0,10887.0,28,25
84,285.0,2907.0,0.0,183.0,33.0,4125.0,718.0,527.0,257.0,1414.0,583.0,202001041200,202001041300,2997.0,2524.0,8035.0,11032.0,27,23
85,287.0,2864.0,0.0,333.0,33.0,4123.0,713.0,339.0,260.0,1287.0,566.0,202001041300,202001041400,2818.0,2192.0,7987.0,10805.0,26,20
86,291.0,2999.0,0.0,450.0,33.0,4124.0,727.0,136.0,256.0,986.0,476.0,202001041400,202001041500,2337.0,1598.0,8141.0,10478.0,22,15
87,347.0,3146.0,0.0,643.0,33.0,4124.0,771.0,20.0,259.0,716.0,428.0,202001041500,202001041600,2099.0,1164.0,8388.0,10487.0,20,11
88,358.0,3215.0,0.0,454.0,33.0,4124.0,781.0,0.0,256.0,680.0,400.0,202001041600,202001041700,1823.0,1080.0,8478.0,10301.0,18,10
89,357.0,3553.0,0.0,782.0,33.0,4124.0,702.0,0.0,261.0,578.0,381.0,202001041700,202001041800,2035.0,959.0,8736.0,10771.0,19,9
90,353.0,3543.0,0.0,1016.0,33.0,4125.0,733.0,0.0,262.0,464.0,350.0,202001041800,202001041900,2125.0,814.0,8754.0,10879.0,20,7
91,355.0,3507.0,0.0,494.0,33.0,4128.0,737.0,0.0,263.0,443.0,275.0,202001041900,202001042000,1508.0,718.0,8727.0,10235.0,15,7
92,351.0,3427.0,0.0,27.0,33.0,4130.0,710.0,0.0,259.0,380.0,215.0,202001042000,202001042100,914.0,595.0,8618.0,9532.0,10,6
93,345.0,3435.0,0.0,,32.0,4130.0,642.0,0.0,263.0,274.0,166.0,202001042100,202001042200,735.0,440.0,8552.0,9287.0,8,5
94,342.0,3452.0,0.0,12.0,33.0,4131.0,702.0,0.0,260.0,192.0,150.0,202001042200,202001042300,647.0,342.0,8627.0,9274.0,7,4
95,343.0,2775.0,0.0,,33.0,4130.0,660.0,0.0,257.0,89.0,150.0,202001042300,202001050000,529.0,239.0,7908.0,8437.0,6,3
96,345.0,2203.0,0.0,,33.0,4130.0,644.0,0.0,252.0,128.0,141.0,202001050000,202001050100,554.0,269.0,7322.0,7876.0,7,3
97,342.0,2169.0,0.0,,33.0,4130.0,661.0,0.0,248.0,124.0,119.0,202001050100,202001050200,524.0,243.0,7302.0,7826.0,7,3
98,343.0,2051.0,0.0,,33.0,4130.0,672.0,0.0,246.0,145.0,107.0,202001050200,202001050300,531.0,252.0,7196.0,7727.0,7,3
99,341.0,2066.0,0.0,,33.0,4125.0,665.0,0.0,248.0,124.0,78.0,202001050300,202001050400,483.0,202.0,7197.0,7680.0,6,3
100,343.0,2099.0,0.0,,33.0,4117.0,672.0,0.0,248.0,144.0,74.0,202001050400,202001050500,499.0,218.0,7231.0,7730.0,6,3
101,341.0,2034.0,0.0,,33.0,4118.0,674.0,0.0,251.0,178.0,59.0,202001050500,202001050600,521.0,237.0,7167.0,7688.0,7,3
102,345.0,1987.0,0.0,,33.0,4117.0,692.0,0.0,246.0,341.0,90.0,202001050600,202001050700,710.0,431.0,7141.0,7851.0,9,5
103,347.0,2136.0,0.0,,33.0,4119.0,712.0,0.0,247.0,309.0,103.0,202001050700,202001050800,692.0,412.0,7314.0,8006.0,9,5
104,349.0,2209.0,0.0,2.0,33.0,4118.0,739.0,27.0,250.0,269.0,126.0,202001050800,202001050900,707.0,422.0,7415.0,8122.0,9,5
105,350.0,2371.0,0.0,,33.0,4120.0,764.0,97.0,251.0,471.0,144.0,202001050900,202001051000,996.0,712.0,7605.0,8601.0,12,8
106,352.0,2546.0,0.0,,33.0,4119.0,800.0,176.0,248.0,665.0,130.0,202001051000,202001051100,1252.0,971.0,7817.0,9069.0,14,11
107,351.0,2642.0,0.0,,33.0,4120.0,787.0,205.0,250.0,829.0,118.0,202001051100,202001051200,1435.0,1152.0,7900.0,9335.0,15,12
108,352.0,2705.0,0.0,,33.0,4118.0,778.0,181.0,247.0,731.0,106.0,202001051200,202001051300,1298.0,1018.0,7953.0,9251.0,14,11
109,354.0,2733.0,0.0,,33.0,4118.0,784.0,140.0,249.0,701.0,111.0,202001051300,202001051400,1234.0,952.0,7989.0,9223.0,13,10
110,355.0,2777.0,0.0,,34.0,4124.0,788.0,62.0,245.0,702.0,102.0,202001051400,202001051500,1145.0,866.0,8044.0,9189.0,12,9
111,355.0,3190.0,0.0,,33.0,4126.0,778.0,9.0,246.0,581.0,97.0,202001051500,202001051600,966.0,687.0,8449.0,9415.0,10,7
112,356.0,3319.0,0.0,,34.0,4127.0,737.0,0.0,243.0,647.0,95.0,202001051600,202001051700,1019.0,742.0,8539.0,9558.0,11,8
113,355.0,3397.0,0.0,,33.0,4127.0,706.0,0.0,241.0,517.0,112.0,202001051700,202001051800,903.0,629.0,8585.0,9488.0,10,7
114,361.0,3470.0,0.0,114.0,33.0,4126.0,678.0,0.0,239.0,525.0,136.0,202001051800,202001051900,1047.0,661.0,8635.0,9682.0,11,7
115,364.0,3424.0,0.0,,33.0,4128.0,677.0,0.0,239.0,500.0,174.0,202001051900,202001052000,946.0,674.0,8593.0,9539.0,10,7
116,367.0,3418.0,0.0,,33.0,4133.0,658.0,0.0,242.0,496.0,160.0,202001052000,202001052100,931.0,656.0,8576.0,9507.0,10,7
117,367.0,3265.0,0.0,,33.0,4134.0,617.0,0.0,242.0,675.0,117.0,202001052100,202001052200,1067.0,792.0,8383.0,9450.0,11,8
118,365.0,2992.0,0.0,,33.0,4132.0,630.0,0.0,253.0,676.0,131.0,202001052200,202001052300,1093.0,807.0,8119.0,9212.0,12,9
119,366.0,2437.0,0.0,,33.0,4131.0,634.0,0.0,257.0,595.0,160.0,202001052300,202001060000,1045.0,755.0,7568.0,8613.0,12,9
120,364.0,2245.0,0.0,,33.0,4130.0,633.0,0.0,255.0,586.0,157.0,202001060000,202001060100,1031.0,743.0,7372.0,8403.0,12,9
121,363.0,2258.0,0.0,,34.0,4129.0,663.0,0.0,254.0,681.0,143.0,202001060100,202001060200,1112.0,824.0,7413.0,8525.0,13,10
