,startTime,endTime,total,Solar,Wind Onshore,totalRenewable,percentRenewable
0,2020-01-01 00:00:00,2020-01-01 01:00:00,3689.0,0.0,318.0,318.0,9
1,2020-01-01 01:00:00,2020-01-01 02:00:00,3686.0,0.0,370.0,370.0,10
2,2020-01-01 02:00:00,2020-01-01 03:00:00,3735.0,0.0,404.0,404.0,11
3,2020-01-01 03:00:00,2020-01-01 04:00:00,3845.0,0.0,423.0,423.0,11
4,2020-01-01 04:00:00,2020-01-01 05:00:00,4056.0,0.0,460.0,460.0,11
5,2020-01-01 05:00:00,2020-01-01 06:00:00,4563.0,0.0,481.0,481.0,11
6,2020-01-01 06:00:00,2020-01-01 07:00:00,4855.0,30.0,545.0,575.0,12
7,2020-01-01 07:00:00,2020-01-01 08:00:00,5101.0,139.0,575.0,714.0,14
8,2020-01-01 08:00:00,2020-01-01 09:00:00,5232.0,274.0,567.0,841.0,16
9,2020-01-01 09:00:00,2020-01-01 10:00:00,5276.0,356.0,557.0,913.0,17
10,2020-01-01 10:00:00,2020-01-01 11:00:00,5159.0,382.0,576.0,958.0,19
11,2020-01-01 11:00:00,2020-01-01 12:00:00,5027.0,347.0,586.0,933.0,19
12,2020-01-01 12:00:00,2020-01-01 13:00:00,4954.0,263.0,588.0,851.0,17
13,2020-01-01 13:00:00,2020-01-01 14:00:00,5039.0,136.0,575.0,711.0,14
14,2020-01-01 14:00:00,2020-01-01 15:00:00,5441.0,17.0,525.0,542.0,10
15,2020-01-01 15:00:00,2020-01-01 16:00:00,5596.0,0.0,512.0,512.0,9
16,2020-01-01 16:00:00,2020-01-01 17:00:00,5587.0,0.0,521.0,521.0,9
17,2020-01-01 17:00:00,2020-01-01 18:00:00,5465.0,0.0,545.0,545.0,10
18,2020-01-01 18:00:00,2020-01-01 19:00:00,5383.0,0.0,538.0,538.0,10
19,2020-01-01 19:00:00,2020-01-01 20:00:00,5306.0,0.0,519.0,519.0,10
20,2020-01-01 20:00:00,2020-01-01 21:00:00,5089.0,0.0,505.0,505.0,10
21,2020-01-01 21:00:00,2020-01-01 22:00:00,5015.0,0.0,526.0,526.0,10
22,2020-01-01 22:00:00,2020-01-01 23:00:00,4726.0,0.0,475.0,475.0,10
23,2020-01-01 23:00:00,2020-01-02 00:00:00,4520.0,0.0,440.0,440.0,10
24,2020-01-02 00:00:00,2020-01-02 01:00:00,4484.0,0.0,434.0,434.0,10
25,2020-01-02 01:00:00,2020-01-02 02:00:00,4469.0,0.0,434.0,434.0,10
26,2020-01-02 02:00:00,2020-01-02 03:00:00,4566.0,0.0,459.0,459.0,10
27,2020-01-02 03:00:00,2020-01-02 04:00:00,4949.0,0.0,423.0,423.0,9
28,2020-01-02 04:00:00,2020-01-02 05:00:00,5347.0,0.0,372.0,372.0,7
29,2020-01-02 05:00:00,2020-01-02 06:00:00,5895.0,0.0,359.0,359.0,6
30,2020-01-02 06:00:00,2020-01-02 07:00:00,5362.0,47.0,354.0,401.0,7
31,2020-01-02 07:00:00,2020-01-02 08:00:00,5500.0,186.0,251.0,437.0,8
32,2020-01-02 08:00:00,2020-01-02 09:00:00,5514.0,310.0,146.0,456.0,8
33,2020-01-02 09:00:00,2020-01-02 10:00:00,5501.0,386.0,103.0,489.0,9
34,2020-01-02 10:00:00,2020-01-02 11:00:00,5447.0,407.0,95.0,502.0,9
35,2020-01-02 11:00:00,2020-01-02 12:00:00,5363.0,368.0,74.0,442.0,8
36,2020-01-02 12:00:00,2020-01-02 13:00:00,5364.0,278.0,63.0,341.0,6
37,2020-01-02 13:00:00,2020-01-02 14:00:00,5398.0,144.0,56.0,200.0,4
38,2020-01-02 14:00:00,2020-01-02 15:00:00,5779.0,18.0,73.0,91.0,2
39,2020-01-02 15:00:00,2020-01-02 16:00:00,5810.0,0.0,57.0,57.0,1
40,2020-01-02 16:00:00,2020-01-02 17:00:00,5636.0,0.0,36.0,36.0,1
41,2020-01-02 17:00:00,2020-01-02 18:00:00,5360.0,0.0,39.0,39.0,1
42,2020-01-02 18:00:00,2020-01-02 19:00:00,5232.0,0.0,39.0,39.0,1
43,2020-01-02 19:00:00,2020-01-02 20:00:00,5092.0,0.0,44.0,44.0,1
