,startTime,percentRenewable
0,2020-01-01 00:00:00,8
1,2020-01-01 01:00:00,8
2,2020-01-01 02:00:00,9
3,2020-01-01 03:00:00,10
4,2020-01-01 04:00:00,11
5,2020-01-01 05:00:00,12
6,2020-01-01 06:00:00,13
7,2020-01-01 07:00:00,16
8,2020-01-01 08:00:00,18
9,2020-01-01 09:00:00,20
10,2020-01-01 10:00:00,19
11,2020-01-01 11:00:00,17
12,2020-01-01 12:00:00,14
13,2020-01-01 13:00:00,11
14,2020-01-01 14:00:00,11
15,2020-01-01 15:00:00,16
16,2020-01-01 16:00:00,19
17,2020-01-01 17:00:00,18
18,2020-01-01 18:00:00,16
19,2020-01-01 19:00:00,15
20,2020-01-01 20:00:00,13
21,2020-01-01 21:00:00,11
22,2020-01-01 22:00:00,11
23,2020-01-01 23:00:00,9
24,2020-01-02 00:00:00,9
25,2020-01-02 01:00:00,9
26,2020-01-02 02:00:00,9
27,2020-01-02 03:00:00,10
28,2020-01-02 04:00:00,10
29,2020-01-02 05:00:00,10
30,2020-01-02 06:00:00,13
31,2020-01-02 07:00:00,15
32,2020-01-02 08:00:00,16
33,2020-01-02 09:00:00,17
34,2020-01-02 10:00:00,16
35,2020-01-02 11:00:00,15
36,2020-01-02 12:00:00,13
37,2020-01-02 13:00:00,11
38,2020-01-02 14:00:00,11
39,2020-01-02 15:00:00,16
40,2020-01-02 16:00:00,20
41,2020-01-02 17:00:00,20
42,2020-01-02 18:00:00,15
43,2020-01-02 19:00:00,13
44,2020-01-02 20:00:00,13
45,2020-01-02 21:00:00,10
46,2020-01-02 22:00:00,4
47,2020-01-02 23:00:00,5
48,2020-01-03 00:00:00,5
49,2020-01-03 01:00:00,5
50,2020-01-03 02:00:00,5
51,2020-01-03 03:00:00,5
52,2020-01-03 04:00:00,5
53,2020-01-03 05:00:00,6
54,2020-01-03 06:00:00,14
55,2020-01-03 07:00:00,17
56,2020-01-03 08:00:00,19
57,2020-01-03 09:00:00,16
58,2020-01-03 10:00:00,15
59,2020-01-03 11:00:00,15
60,2020-01-03 12:00:00,12
61,2020-01-03 13:00:00,9
62,2020-01-03 14:00:00,10
63,2020-01-03 15:00:00,17
64,2020-01-03 16:00:00,21
65,2020-01-03 17:00:00,21
66,2020-01-03 18:00:00,18
67,2020-01-03 19:00:00,14
68,2020-01-03 20:00:00,14
69,2020-01-03 21:00:00,12
70,2020-01-03 22:00:00,11
71,2020-01-03 23:00:00,11
72,2020-01-04 00:00:00,11
73,2020-01-04 01:00:00,11
74,2020-01-04 02:00:00,10
75,2020-01-04 03:00:00,10
76,2020-01-04 04:00:00,10
77,2020-01-04 05:00:00,10
78,2020-01-04 06:00:00,11
79,2020-01-04 07:00:00,13
80,2020-01-04 08:00:00,14
81,2020-01-04 09:00:00,16
82,2020-01-04 10:00:00,17
83,2020-01-04 11:00:00,15
84,2020-01-04 12:00:00,12
85,2020-01-04 13:00:00,8
86,2020-01-04 14:00:00,4
87,2020-01-04 15:00:00,11
88,2020-01-04 16:00:00,17
89,2020-01-04 17:00:00,16
90,2020-01-04 18:00:00,13
91,2020-01-04 19:00:00,8
92,2020-01-04 20:00:00,4
93,2020-01-04 21:00:00,4
94,2020-01-04 22:00:00,5
95,2020-01-04 23:00:00,5
96,2020-01-05 00:00:00,6
97,2020-01-05 01:00:00,5
98,2020-01-05 02:00:00,5
99,2020-01-05 03:00:00,6
100,2020-01-05 04:00:00,7
101,2020-01-05 05:00:00,7
102,2020-01-05 06:00:00,8
103,2020-01-05 07:00:00,14
104,2020-01-05 08:00:00,14
105,2020-01-05 09:00:00,15
106,2020-01-05 10:00:00,13
107,2020-01-05 11:00:00,10
108,2020-01-05 12:00:00,9
109,2020-01-05 13:00:00,9
110,2020-01-05 14:00:00,11
111,2020-01-05 15:00:00,16
112,2020-01-05 16:00:00,19
113,2020-01-05 17:00:00,20
114,2020-01-05 18:00:00,19
115,2020-01-05 19:00:00,18
116,2020-01-05 20:00:00,16
117,2020-01-05 21:00:00,12
118,2020-01-05 22:00:00,11
119,2020-01-05 23:00:00,11
120,2020-01-06 00:00:00,11
121,2020-01-06 01:00:00,11
122,2020-01-06 02:00:00,11
123,2020-01-06 03:00:00,11
124,2020-01-06 04:00:00,11
125,2020-01-06 05:00:00,11
126,2020-01-06 06:00:00,12
127,2020-01-06 07:00:00,16
128,2020-01-06 08:00:00,16
129,2020-01-06 09:00:00,17
130,2020-01-06 10:00:00,16
131,2020-01-06 11:00:00,15
132,2020-01-06 12:00:00,14
133,2020-01-06 13:00:00,12
134,2020-01-06 14:00:00,14
135,2020-01-06 15:00:00,19
136,2020-01-06 16:00:00,22
137,2020-01-06 17:00:00,22
138,2020-01-06 18:00:00,21
139,2020-01-06 19:00:00,19
140,2020-01-06 20:00:00,16
141,2020-01-06 21:00:00,12
142,2020-01-06 22:00:00,11
143,2020-01-06 23:00:00,11
144,2020-01-07 00:00:00,11
145,2020-01-07 01:00:00,11
146,2020-01-07 02:00:00,11
147,2020-01-07 03:00:00,11
148,2020-01-07 04:00:00,11
149,2020-01-07 05:00:00,11
150,2020-01-07 06:00:00,12
151,2020-01-07 07:00:00,15
152,2020-01-07 08:00:00,19
153,2020-01-07 09:00:00,22
154,2020-01-07 10:00:00,23
155,2020-01-07 11:00:00,22
156,2020-01-07 12:00:00,19
157,2020-01-07 13:00:00,15
158,2020-01-07 14:00:00,12
159,2020-01-07 15:00:00,15
160,2020-01-07 16:00:00,21
161,2020-01-07 17:00:00,20
162,2020-01-07 18:00:00,18
163,2020-01-07 19:00:00,13
164,2020-01-07 20:00:00,12
165,2020-01-07 21:00:00,12
166,2020-01-07 22:00:00,11
167,2020-01-07 23:00:00,10
168,2020-01-08 00:00:00,10
169,2020-01-08 01:00:00,11
170,2020-01-08 02:00:00,11
171,2020-01-08 03:00:00,11
172,2020-01-08 04:00:00,11
173,2020-01-08 05:00:00,11
174,2020-01-08 06:00:00,13
175,2020-01-08 07:00:00,15
176,2020-01-08 08:00:00,17
177,2020-01-08 09:00:00,19
178,2020-01-08 10:00:00,20
179,2020-01-08 11:00:00,19
180,2020-01-08 12:00:00,17
181,2020-01-08 13:00:00,13
182,2020-01-08 14:00:00,7
183,2020-01-08 15:00:00,12
184,2020-01-08 16:00:00,18
185,2020-01-08 17:00:00,19
186,2020-01-08 18:00:00,16
187,2020-01-08 19:00:00,13
188,2020-01-08 20:00:00,11
189,2020-01-08 21:00:00,7
190,2020-01-08 22:00:00,7
191,2020-01-08 23:00:00,6
192,2020-01-09 00:00:00,6
193,2020-01-09 01:00:00,6
194,2020-01-09 02:00:00,6
195,2020-01-09 03:00:00,6
196,2020-01-09 04:00:00,6
197,2020-01-09 05:00:00,7
198,2020-01-09 06:00:00,10
199,2020-01-09 07:00:00,12
200,2020-01-09 08:00:00,13
