,startTime,percentRenewable
0,2020-01-01 00:00:00,42
1,2020-01-01 01:00:00,44
2,2020-01-01 02:00:00,42
3,2020-01-01 03:00:00,38
4,2020-01-01 04:00:00,39
5,2020-01-01 05:00:00,43
6,2020-01-01 06:00:00,43
7,2020-01-01 07:00:00,40
8,2020-01-01 08:00:00,43
9,2020-01-01 09:00:00,40
10,2020-01-01 10:00:00,41
11,2020-01-01 11:00:00,44
12,2020-01-01 12:00:00,47
13,2020-01-01 13:00:00,48
14,2020-01-01 14:00:00,48
15,2020-01-01 15:00:00,46
16,2020-01-01 16:00:00,44
17,2020-01-01 17:00:00,42
18,2020-01-01 18:00:00,44
19,2020-01-01 19:00:00,42
20,2020-01-01 20:00:00,43
21,2020-01-01 21:00:00,44
22,2020-01-01 22:00:00,44
23,2020-01-01 23:00:00,44
24,2020-01-02 00:00:00,47
25,2020-01-02 01:00:00,47
26,2020-01-02 02:00:00,46
27,2020-01-02 03:00:00,44
28,2020-01-02 04:00:00,45
29,2020-01-02 05:00:00,42
30,2020-01-02 06:00:00,40
31,2020-01-02 07:00:00,41
32,2020-01-02 08:00:00,41
33,2020-01-02 09:00:00,43
34,2020-01-02 10:00:00,43
35,2020-01-02 11:00:00,43
36,2020-01-02 12:00:00,45
37,2020-01-02 13:00:00,45
38,2020-01-02 14:00:00,45
39,2020-01-02 15:00:00,47
40,2020-01-02 16:00:00,46
41,2020-01-02 17:00:00,44
42,2020-01-02 18:00:00,44
43,2020-01-02 19:00:00,44
44,2020-01-02 20:00:00,47
45,2020-01-02 21:00:00,47
46,2020-01-02 22:00:00,47
47,2020-01-02 23:00:00,48
48,2020-01-03 00:00:00,48
49,2020-01-03 01:00:00,48
50,2020-01-03 02:00:00,53
51,2020-01-03 03:00:00,54
52,2020-01-03 04:00:00,56
53,2020-01-03 05:00:00,56
54,2020-01-03 06:00:00,56
55,2020-01-03 07:00:00,57
56,2020-01-03 08:00:00,59
57,2020-01-03 09:00:00,59
58,2020-01-03 10:00:00,58
59,2020-01-03 11:00:00,59
60,2020-01-03 12:00:00,60
61,2020-01-03 13:00:00,60
62,2020-01-03 14:00:00,59
63,2020-01-03 15:00:00,59
64,2020-01-03 16:00:00,57
65,2020-01-03 17:00:00,57
66,2020-01-03 18:00:00,58
67,2020-01-03 19:00:00,56
68,2020-01-03 20:00:00,55
69,2020-01-03 21:00:00,50
70,2020-01-03 22:00:00,48
71,2020-01-03 23:00:00,46
72,2020-01-04 00:00:00,46
73,2020-01-04 01:00:00,47
74,2020-01-04 02:00:00,50
75,2020-01-04 03:00:00,51
76,2020-01-04 04:00:00,52
77,2020-01-04 05:00:00,52
78,2020-01-04 06:00:00,50
79,2020-01-04 07:00:00,49
80,2020-01-04 08:00:00,51
81,2020-01-04 09:00:00,52
82,2020-01-04 10:00:00,52
83,2020-01-04 11:00:00,54
84,2020-01-04 12:00:00,50
85,2020-01-04 13:00:00,50
86,2020-01-04 14:00:00,44
87,2020-01-04 15:00:00,43
88,2020-01-04 16:00:00,45
89,2020-01-04 17:00:00,47
90,2020-01-04 18:00:00,45
91,2020-01-04 19:00:00,45
92,2020-01-04 20:00:00,50
93,2020-01-04 21:00:00,50
94,2020-01-04 22:00:00,50
95,2020-01-04 23:00:00,49
96,2020-01-05 00:00:00,50
97,2020-01-05 01:00:00,50
98,2020-01-05 02:00:00,51
99,2020-01-05 03:00:00,51
100,2020-01-05 04:00:00,50
101,2020-01-05 05:00:00,50
102,2020-01-05 06:00:00,49
103,2020-01-05 07:00:00,47
104,2020-01-05 08:00:00,37
105,2020-01-05 09:00:00,32
106,2020-01-05 10:00:00,25
107,2020-01-05 11:00:00,21
108,2020-01-05 12:00:00,19
109,2020-01-05 13:00:00,16
110,2020-01-05 14:00:00,11
111,2020-01-05 15:00:00,10
112,2020-01-05 16:00:00,9
113,2020-01-05 17:00:00,14
114,2020-01-05 18:00:00,28
115,2020-01-05 19:00:00,40
116,2020-01-05 20:00:00,46
117,2020-01-05 21:00:00,50
118,2020-01-05 22:00:00,50
119,2020-01-05 23:00:00,51
120,2020-01-06 00:00:00,47
121,2020-01-06 01:00:00,48
122,2020-01-06 02:00:00,45
123,2020-01-06 03:00:00,38
124,2020-01-06 04:00:00,31
125,2020-01-06 05:00:00,30
126,2020-01-06 06:00:00,27
127,2020-01-06 07:00:00,25
128,2020-01-06 08:00:00,24
129,2020-01-06 09:00:00,20
130,2020-01-06 10:00:00,20
131,2020-01-06 11:00:00,20
132,2020-01-06 12:00:00,21
133,2020-01-06 13:00:00,22
134,2020-01-06 14:00:00,21
135,2020-01-06 15:00:00,20
136,2020-01-06 16:00:00,23
137,2020-01-06 17:00:00,25
138,2020-01-06 18:00:00,23
139,2020-01-06 19:00:00,25
140,2020-01-06 20:00:00,27
141,2020-01-06 21:00:00,33
142,2020-01-06 22:00:00,35
143,2020-01-06 23:00:00,35
144,2020-01-07 00:00:00,35
145,2020-01-07 01:00:00,36
146,2020-01-07 02:00:00,38
147,2020-01-07 03:00:00,39
148,2020-01-07 04:00:00,38
149,2020-01-07 05:00:00,39
150,2020-01-07 06:00:00,30
151,2020-01-07 07:00:00,27
152,2020-01-07 08:00:00,25
153,2020-01-07 09:00:00,26
154,2020-01-07 10:00:00,26
155,2020-01-07 11:00:00,36
156,2020-01-07 12:00:00,40
157,2020-01-07 13:00:00,42
158,2020-01-07 14:00:00,43
159,2020-01-07 15:00:00,43
160,2020-01-07 16:00:00,47
161,2020-01-07 17:00:00,49
162,2020-01-07 18:00:00,49
163,2020-01-07 19:00:00,52
164,2020-01-07 20:00:00,53
165,2020-01-07 21:00:00,52
166,2020-01-07 22:00:00,52
167,2020-01-07 23:00:00,52
168,2020-01-08 00:00:00,58
169,2020-01-08 01:00:00,58
170,2020-01-08 02:00:00,59
171,2020-01-08 03:00:00,58
172,2020-01-08 04:00:00,53
173,2020-01-08 05:00:00,52
174,2020-01-08 06:00:00,49
175,2020-01-08 07:00:00,49
176,2020-01-08 08:00:00,48
177,2020-01-08 09:00:00,50
178,2020-01-08 10:00:00,57
179,2020-01-08 11:00:00,57
180,2020-01-08 12:00:00,57
181,2020-01-08 13:00:00,55
182,2020-01-08 14:00:00,52
183,2020-01-08 15:00:00,50
184,2020-01-08 16:00:00,47
185,2020-01-08 17:00:00,48
186,2020-01-08 18:00:00,50
187,2020-01-08 19:00:00,48
188,2020-01-08 20:00:00,48
189,2020-01-08 21:00:00,47
190,2020-01-08 22:00:00,46
191,2020-01-08 23:00:00,45
192,2020-01-09 00:00:00,45
193,2020-01-09 01:00:00,43
194,2020-01-09 02:00:00,43
195,2020-01-09 03:00:00,45
196,2020-01-09 04:00:00,43
197,2020-01-09 05:00:00,40
198,2020-01-09 06:00:00,36
199,2020-01-09 07:00:00,33
200,2020-01-09 08:00:00,32
201,2020-01-09 09:00:00,33
202,2020-01-09 10:00:00,30
203,2020-01-09 11:00:00,28
204,2020-01-09 12:00:00,24
205,2020-01-09 13:00:00,21
206,2020-01-09 14:00:00,20
207,2020-01-09 15:00:00,16
208,2020-01-09 16:00:00,16
209,2020-01-09 17:00:00,18
210,2020-01-09 18:00:00,22
211,2020-01-09 19:00:00,22
212,2020-01-09 20:00:00,19
213,2020-01-09 21:00:00,16
214,2020-01-09 22:00:00,15
215,2020-01-09 23:00:00,13
216,2020-01-10 00:00:00,11
217,2020-01-10 01:00:00,11
218,2020-01-10 02:00:00,10
219,2020-01-10 03:00:00,8
220,2020-01-10 04:00:00,7
221,2020-01-10 05:00:00,6
222,2020-01-10 06:00:00,5
223,2020-01-10 07:00:00,6
224,2020-01-10 08:00:00,7
225,2020-01-10 09:00:00,7
226,2020-01-10 10:00:00,7
227,2020-01-10 11:00:00,7
228,2020-01-10 12:00:00,7
229,2020-01-10 13:00:00,7
230,2020-01-10 14:00:00,7
231,2020-01-10 15:00:00,8
232,2020-01-10 16:00:00,7
233,2020-01-10 17:00:00,7
234,2020-01-10 18:00:00,11
235,2020-01-10 19:00:00,14
236,2020-01-10 20:00:00,11
237,2020-01-10 21:00:00,8
238,2020-01-10 22:00:00,7
239,2020-01-10 23:00:00,7
240,2020-01-11 00:00:00,9
241,2020-01-11 01:00:00,10
242,2020-01-11 02:00:00,12
243,2020-01-11 03:00:00,11
244,2020-01-11 04:00:00,10
245,2020-01-11 05:00:00,11
246,2020-01-11 06:00:00,14
247,2020-01-11 07:00:00,19
248,2020-01-11 08:00:00,23
249,2020-01-11 09:00:00,26
250,2020-01-11 10:00:00,28
251,2020-01-11 11:00:00,30
252,2020-01-11 12:00:00,31
253,2020-01-11 13:00:00,34
254,2020-01-11 14:00:00,36
255,2020-01-11 15:00:00,41
256,2020-01-11 16:00:00,44
257,2020-01-11 17:00:00,45
258,2020-01-11 18:00:00,46
259,2020-01-11 19:00:00,47
260,2020-01-11 20:00:00,48
261,2020-01-11 21:00:00,47
262,2020-01-11 22:00:00,47
263,2020-01-11 23:00:00,47
264,2020-01-12 00:00:00,47
265,2020-01-12 01:00:00,47
266,2020-01-12 02:00:00,47
267,2020-01-12 03:00:00,47
268,2020-01-12 04:00:00,47
269,2020-01-12 05:00:00,47
