,startTime,endTime,total,Solar,Wind Onshore,totalRenewable,percentRenewable
0,2020-01-01 00:00:00,2020-01-01 01:00:00,20383.0,13.0,1543.0,1556.0,8
1,2020-01-01 01:00:00,2020-01-01 02:00:00,20218.0,11.0,1595.0,1606.0,8
2,2020-01-01 02:00:00,2020-01-01 03:00:00,20510.0,9.0,1621.0,1630.0,8
3,2020-01-01 03:00:00,2020-01-01 04:00:00,20809.0,11.0,1632.0,1643.0,8
4,2020-01-01 04:00:00,2020-01-01 05:00:00,20710.0,11.0,1666.0,1677.0,8
5,2020-01-01 05:00:00,2020-01-01 06:00:00,20823.0,11.0,1679.0,1690.0,8
6,2020-01-01 06:00:00,2020-01-01 07:00:00,20847.0,11.0,1568.0,1579.0,8
7,2020-01-01 07:00:00,2020-01-01 08:00:00,20917.0,77.0,1426.0,1503.0,7
8,2020-01-01 08:00:00,2020-01-01 09:00:00,21608.0,867.0,1301.0,2168.0,10
9,2020-01-01 09:00:00,2020-01-01 10:00:00,22902.0,2399.0,1104.0,3503.0,15
10,2020-01-01 10:00:00,2020-01-01 11:00:00,24027.0,3676.0,937.0,4613.0,19
11,2020-01-01 11:00:00,2020-01-01 12:00:00,24904.0,4472.0,828.0,5300.0,21
12,2020-01-01 12:00:00,2020-01-01 13:00:00,24700.0,4845.0,787.0,5632.0,23
13,2020-01-01 13:00:00,2020-01-01 14:00:00,24506.0,4774.0,759.0,5533.0,23
14,2020-01-01 14:00:00,2020-01-01 15:00:00,24260.0,4366.0,659.0,5025.0,21
15,2020-01-01 15:00:00,2020-01-01 16:00:00,22950.0,3124.0,713.0,3837.0,17
16,2020-01-01 16:00:00,2020-01-01 17:00:00,22014.0,1242.0,817.0,2059.0,9
17,2020-01-01 17:00:00,2020-01-01 18:00:00,21989.0,206.0,893.0,1099.0,5
18,2020-01-01 18:00:00,2020-01-01 19:00:00,22550.0,39.0,1056.0,1095.0,5
19,2020-01-01 19:00:00,2020-01-01 20:00:00,22272.0,40.0,1219.0,1259.0,6
20,2020-01-01 20:00:00,2020-01-01 21:00:00,22718.0,35.0,1400.0,1435.0,6
21,2020-01-01 21:00:00,2020-01-01 22:00:00,21984.0,28.0,1601.0,1629.0,7
22,2020-01-01 22:00:00,2020-01-01 23:00:00,20992.0,30.0,1804.0,1834.0,9
23,2020-01-01 23:00:00,2020-01-02 00:00:00,20915.0,26.0,1777.0,1803.0,9
24,2020-01-02 00:00:00,2020-01-02 01:00:00,21180.0,20.0,1912.0,1932.0,9
25,2020-01-02 01:00:00,2020-01-02 02:00:00,21404.0,5.0,2073.0,2078.0,10
26,2020-01-02 02:00:00,2020-01-02 03:00:00,21502.0,9.0,2120.0,2129.0,10
27,2020-01-02 03:00:00,2020-01-02 04:00:00,21654.0,9.0,2270.0,2279.0,11
28,2020-01-02 04:00:00,2020-01-02 05:00:00,21877.0,8.0,2429.0,2437.0,11
29,2020-01-02 05:00:00,2020-01-02 06:00:00,22113.0,8.0,2538.0,2546.0,12
30,2020-01-02 06:00:00,2020-01-02 07:00:00,24388.0,8.0,2666.0,2674.0,11
31,2020-01-02 07:00:00,2020-01-02 08:00:00,26148.0,67.0,2827.0,2894.0,11
32,2020-01-02 08:00:00,2020-01-02 09:00:00,28260.0,724.0,3030.0,3754.0,13
33,2020-01-02 09:00:00,2020-01-02 10:00:00,30250.0,2069.0,3050.0,5119.0,17
34,2020-01-02 10:00:00,2020-01-02 11:00:00,31570.0,3249.0,2989.0,6238.0,20
35,2020-01-02 11:00:00,2020-01-02 12:00:00,32232.0,4047.0,2845.0,6892.0,21
36,2020-01-02 12:00:00,2020-01-02 13:00:00,32053.0,4499.0,2826.0,7325.0,23
37,2020-01-02 13:00:00,2020-01-02 14:00:00,31503.0,4504.0,2812.0,7316.0,23
38,2020-01-02 14:00:00,2020-01-02 15:00:00,31012.0,4116.0,2885.0,7001.0,23
39,2020-01-02 15:00:00,2020-01-02 16:00:00,30384.0,2989.0,3148.0,6137.0,20
40,2020-01-02 16:00:00,2020-01-02 17:00:00,30300.0,1219.0,3455.0,4674.0,15
41,2020-01-02 17:00:00,2020-01-02 18:00:00,29889.0,199.0,3762.0,3961.0,13
42,2020-01-02 18:00:00,2020-01-02 19:00:00,29873.0,26.0,3936.0,3962.0,13
43,2020-01-02 19:00:00,2020-01-02 20:00:00,28775.0,30.0,4096.0,4126.0,14
44,2020-01-02 20:00:00,2020-01-02 21:00:00,28375.0,24.0,4173.0,4197.0,15
45,2020-01-02 21:00:00,2020-01-02 22:00:00,26240.0,22.0,4193.0,4215.0,16
46,2020-01-02 22:00:00,2020-01-02 23:00:00,25000.0,18.0,4212.0,4230.0,17
47,2020-01-02 23:00:00,2020-01-03 00:00:00,24700.0,21.0,4066.0,4087.0,17
48,2020-01-03 00:00:00,2020-01-03 01:00:00,23938.0,14.0,4068.0,4082.0,17
49,2020-01-03 01:00:00,2020-01-03 02:00:00,23086.0,9.0,3990.0,3999.0,17
50,2020-01-03 02:00:00,2020-01-03 03:00:00,22797.0,8.0,4005.0,4013.0,18
51,2020-01-03 03:00:00,2020-01-03 04:00:00,22726.0,9.0,3966.0,3975.0,17
52,2020-01-03 04:00:00,2020-01-03 05:00:00,22744.0,8.0,3974.0,3982.0,18
53,2020-01-03 05:00:00,2020-01-03 06:00:00,23459.0,8.0,4020.0,4028.0,17
54,2020-01-03 06:00:00,2020-01-03 07:00:00,23967.0,8.0,3747.0,3755.0,16
55,2020-01-03 07:00:00,2020-01-03 08:00:00,25621.0,46.0,3384.0,3430.0,13
56,2020-01-03 08:00:00,2020-01-03 09:00:00,27028.0,712.0,3089.0,3801.0,14
57,2020-01-03 09:00:00,2020-01-03 10:00:00,28176.0,1889.0,2626.0,4515.0,16
58,2020-01-03 10:00:00,2020-01-03 11:00:00,28370.0,2822.0,2229.0,5051.0,18
59,2020-01-03 11:00:00,2020-01-03 12:00:00,28064.0,3360.0,1974.0,5334.0,19
60,2020-01-03 12:00:00,2020-01-03 13:00:00,28162.0,3547.0,2212.0,5759.0,20
61,2020-01-03 13:00:00,2020-01-03 14:00:00,27969.0,3431.0,2514.0,5945.0,21
62,2020-01-03 14:00:00,2020-01-03 15:00:00,27095.0,2951.0,2754.0,5705.0,21
63,2020-01-03 15:00:00,2020-01-03 16:00:00,26485.0,2080.0,3205.0,5285.0,20
64,2020-01-03 16:00:00,2020-01-03 17:00:00,27223.0,794.0,3717.0,4511.0,17
65,2020-01-03 17:00:00,2020-01-03 18:00:00,27217.0,117.0,4344.0,4461.0,16
66,2020-01-03 18:00:00,2020-01-03 19:00:00,28080.0,19.0,4587.0,4606.0,16
67,2020-01-03 19:00:00,2020-01-03 20:00:00,28248.0,21.0,4781.0,4802.0,17
68,2020-01-03 20:00:00,2020-01-03 21:00:00,27859.0,18.0,4929.0,4947.0,18
69,2020-01-03 21:00:00,2020-01-03 22:00:00,26892.0,16.0,4857.0,4873.0,18
70,2020-01-03 22:00:00,2020-01-03 23:00:00,25217.0,13.0,4797.0,4810.0,19
71,2020-01-03 23:00:00,2020-01-04 00:00:00,23883.0,7.0,4304.0,4311.0,18
72,2020-01-04 00:00:00,2020-01-04 01:00:00,23242.0,0.0,4312.0,4312.0,19
73,2020-01-04 01:00:00,2020-01-04 02:00:00,23151.0,7.0,4277.0,4284.0,19
74,2020-01-04 02:00:00,2020-01-04 03:00:00,22929.0,7.0,4412.0,4419.0,19
75,2020-01-04 03:00:00,2020-01-04 04:00:00,22884.0,8.0,4495.0,4503.0,20
76,2020-01-04 04:00:00,2020-01-04 05:00:00,22929.0,8.0,4800.0,4808.0,21
77,2020-01-04 05:00:00,2020-01-04 06:00:00,23187.0,8.0,5003.0,5011.0,22
78,2020-01-04 06:00:00,2020-01-04 07:00:00,23876.0,8.0,5071.0,5079.0,21
79,2020-01-04 07:00:00,2020-01-04 08:00:00,24376.0,94.0,5011.0,5105.0,21
80,2020-01-04 08:00:00,2020-01-04 09:00:00,25960.0,839.0,5060.0,5899.0,23
81,2020-01-04 09:00:00,2020-01-04 10:00:00,27853.0,2346.0,4902.0,7248.0,26
82,2020-01-04 10:00:00,2020-01-04 11:00:00,28661.0,3593.0,4768.0,8361.0,29
83,2020-01-04 11:00:00,2020-01-04 12:00:00,29119.0,4438.0,4783.0,9221.0,32
84,2020-01-04 12:00:00,2020-01-04 13:00:00,29136.0,4796.0,4779.0,9575.0,33
85,2020-01-04 13:00:00,2020-01-04 14:00:00,28762.0,4720.0,4719.0,9439.0,33
86,2020-01-04 14:00:00,2020-01-04 15:00:00,28257.0,4324.0,4621.0,8945.0,32
87,2020-01-04 15:00:00,2020-01-04 16:00:00,26955.0,3111.0,4866.0,7977.0,30
88,2020-01-04 16:00:00,2020-01-04 17:00:00,26836.0,1327.0,5257.0,6584.0,25
89,2020-01-04 17:00:00,2020-01-04 18:00:00,26333.0,239.0,5691.0,5930.0,23
90,2020-01-04 18:00:00,2020-01-04 19:00:00,26517.0,29.0,5743.0,5772.0,22
91,2020-01-04 19:00:00,2020-01-04 20:00:00,26269.0,30.0,5712.0,5742.0,22
92,2020-01-04 20:00:00,2020-01-04 21:00:00,26222.0,24.0,5587.0,5611.0,21
93,2020-01-04 21:00:00,2020-01-04 22:00:00,25442.0,21.0,5263.0,5284.0,21
94,2020-01-04 22:00:00,2020-01-04 23:00:00,24726.0,17.0,4995.0,5012.0,20
95,2020-01-04 23:00:00,2020-01-05 00:00:00,23956.0,12.0,,12.0,0
96,2020-01-05 00:00:00,2020-01-05 01:00:00,22946.0,5.0,,5.0,0
97,2020-01-05 01:00:00,2020-01-05 02:00:00,22620.0,8.0,,8.0,0
98,2020-01-05 02:00:00,2020-01-05 03:00:00,21698.0,7.0,,7.0,0
99,2020-01-05 03:00:00,2020-01-05 04:00:00,21362.0,8.0,,8.0,0
100,2020-01-05 04:00:00,2020-01-05 05:00:00,21149.0,8.0,,8.0,0
101,2020-01-05 05:00:00,2020-01-05 06:00:00,21262.0,8.0,,8.0,0
102,2020-01-05 06:00:00,2020-01-05 07:00:00,21800.0,8.0,,8.0,0
103,2020-01-05 07:00:00,2020-01-05 08:00:00,21768.0,107.0,,107.0,0
104,2020-01-05 08:00:00,2020-01-05 09:00:00,22849.0,925.0,,925.0,4
105,2020-01-05 09:00:00,2020-01-05 10:00:00,24331.0,2579.0,,2579.0,11
106,2020-01-05 10:00:00,2020-01-05 11:00:00,25793.0,3951.0,,3951.0,15
107,2020-01-05 11:00:00,2020-01-05 12:00:00,26594.0,4820.0,,4820.0,18
108,2020-01-05 12:00:00,2020-01-05 13:00:00,26330.0,5072.0,,5072.0,19
109,2020-01-05 13:00:00,2020-01-05 14:00:00,26028.0,5006.0,,5006.0,19
110,2020-01-05 14:00:00,2020-01-05 15:00:00,25504.0,4625.0,,4625.0,18
111,2020-01-05 15:00:00,2020-01-05 16:00:00,24624.0,3344.0,,3344.0,14
112,2020-01-05 16:00:00,2020-01-05 17:00:00,23676.0,1415.0,,1415.0,6
113,2020-01-05 17:00:00,2020-01-05 18:00:00,22790.0,259.0,,259.0,1
114,2020-01-05 18:00:00,2020-01-05 19:00:00,23544.0,33.0,,33.0,0
115,2020-01-05 19:00:00,2020-01-05 20:00:00,24394.0,29.0,,29.0,0
116,2020-01-05 20:00:00,2020-01-05 21:00:00,24627.0,25.0,,25.0,0
117,2020-01-05 21:00:00,2020-01-05 22:00:00,23690.0,19.0,,19.0,0
118,2020-01-05 22:00:00,2020-01-05 23:00:00,22351.0,15.0,,15.0,0
119,2020-01-05 23:00:00,2020-01-06 00:00:00,21204.0,10.0,1336.0,1346.0,6
120,2020-01-06 00:00:00,2020-01-06 01:00:00,20385.0,1.0,1466.0,1467.0,7
121,2020-01-06 01:00:00,2020-01-06 02:00:00,19670.0,10.0,1585.0,1595.0,8
122,2020-01-06 02:00:00,2020-01-06 03:00:00,19774.0,9.0,1740.0,1749.0,9
123,2020-01-06 03:00:00,2020-01-06 04:00:00,19903.0,9.0,1800.0,1809.0,9
124,2020-01-06 04:00:00,2020-01-06 05:00:00,20126.0,9.0,1922.0,1931.0,10
125,2020-01-06 05:00:00,2020-01-06 06:00:00,20141.0,9.0,2010.0,2019.0,10
126,2020-01-06 06:00:00,2020-01-06 07:00:00,21514.0,8.0,2030.0,2038.0,9
127,2020-01-06 07:00:00,2020-01-06 08:00:00,22530.0,87.0,2025.0,2112.0,9
128,2020-01-06 08:00:00,2020-01-06 09:00:00,23824.0,935.0,2045.0,2980.0,13
129,2020-01-06 09:00:00,2020-01-06 10:00:00,25166.0,2651.0,1817.0,4468.0,18
130,2020-01-06 10:00:00,2020-01-06 11:00:00,26283.0,4001.0,1544.0,5545.0,21
131,2020-01-06 11:00:00,2020-01-06 12:00:00,26770.0,4871.0,1314.0,6185.0,23
132,2020-01-06 12:00:00,2020-01-06 13:00:00,26709.0,5235.0,1187.0,6422.0,24
133,2020-01-06 13:00:00,2020-01-06 14:00:00,26564.0,5159.0,1102.0,6261.0,24
134,2020-01-06 14:00:00,2020-01-06 15:00:00,26753.0,4749.0,1032.0,5781.0,22
135,2020-01-06 15:00:00,2020-01-06 16:00:00,25505.0,3452.0,998.0,4450.0,17
136,2020-01-06 16:00:00,2020-01-06 17:00:00,24607.0,1421.0,1042.0,2463.0,10
137,2020-01-06 17:00:00,2020-01-06 18:00:00,24771.0,278.0,1177.0,1455.0,6
138,2020-01-06 18:00:00,2020-01-06 19:00:00,24757.0,35.0,1471.0,1506.0,6
139,2020-01-06 19:00:00,2020-01-06 20:00:00,24873.0,33.0,1916.0,1949.0,8
140,2020-01-06 20:00:00,2020-01-06 21:00:00,25178.0,27.0,2443.0,2470.0,10
141,2020-01-06 21:00:00,2020-01-06 22:00:00,24636.0,23.0,2471.0,2494.0,10
142,2020-01-06 22:00:00,2020-01-06 23:00:00,23044.0,18.0,2509.0,2527.0,11
143,2020-01-06 23:00:00,2020-01-07 00:00:00,21751.0,9.0,2496.0,2505.0,12
144,2020-01-07 00:00:00,2020-01-07 01:00:00,21345.0,1.0,2305.0,2306.0,11
145,2020-01-07 01:00:00,2020-01-07 02:00:00,21004.0,9.0,2196.0,2205.0,10
146,2020-01-07 02:00:00,2020-01-07 03:00:00,20650.0,9.0,2203.0,2212.0,11
147,2020-01-07 03:00:00,2020-01-07 04:00:00,20609.0,9.0,2034.0,2043.0,10
148,2020-01-07 04:00:00,2020-01-07 05:00:00,20817.0,8.0,1878.0,1886.0,9
149,2020-01-07 05:00:00,2020-01-07 06:00:00,22480.0,9.0,1729.0,1738.0,8
