,startTime,percentRenewable
0,2020-01-01 00:00:00,35
1,2020-01-01 01:00:00,35
2,2020-01-01 02:00:00,35
3,2020-01-01 03:00:00,35
4,2020-01-01 04:00:00,35
5,2020-01-01 05:00:00,34
6,2020-01-01 06:00:00,35
7,2020-01-01 07:00:00,35
8,2020-01-01 08:00:00,37
9,2020-01-01 09:00:00,42
10,2020-01-01 10:00:00,45
11,2020-01-01 11:00:00,45
12,2020-01-01 12:00:00,46
13,2020-01-01 13:00:00,46
14,2020-01-01 14:00:00,45
15,2020-01-01 15:00:00,42
16,2020-01-01 16:00:00,39
17,2020-01-01 17:00:00,38
18,2020-01-01 18:00:00,38
19,2020-01-01 19:00:00,38
20,2020-01-01 20:00:00,39
21,2020-01-01 21:00:00,36
22,2020-01-01 22:00:00,34
23,2020-01-01 23:00:00,33
24,2020-01-02 00:00:00,34
25,2020-01-02 01:00:00,34
26,2020-01-02 02:00:00,35
27,2020-01-02 03:00:00,35
28,2020-01-02 04:00:00,36
29,2020-01-02 05:00:00,36
30,2020-01-02 06:00:00,38
31,2020-01-02 07:00:00,40
32,2020-01-02 08:00:00,43
33,2020-01-02 09:00:00,46
34,2020-01-02 10:00:00,46
35,2020-01-02 11:00:00,46
36,2020-01-02 12:00:00,46
37,2020-01-02 13:00:00,46
38,2020-01-02 14:00:00,45
39,2020-01-02 15:00:00,45
40,2020-01-02 16:00:00,43
41,2020-01-02 17:00:00,43
42,2020-01-02 18:00:00,43
43,2020-01-02 19:00:00,42
44,2020-01-02 20:00:00,41
45,2020-01-02 21:00:00,43
46,2020-01-02 22:00:00,44
47,2020-01-02 23:00:00,45
48,2020-01-03 00:00:00,44
49,2020-01-03 01:00:00,43
50,2020-01-03 02:00:00,42
51,2020-01-03 03:00:00,42
52,2020-01-03 04:00:00,41
53,2020-01-03 05:00:00,40
54,2020-01-03 06:00:00,39
55,2020-01-03 07:00:00,39
56,2020-01-03 08:00:00,41
57,2020-01-03 09:00:00,42
58,2020-01-03 10:00:00,43
59,2020-01-03 11:00:00,43
60,2020-01-03 12:00:00,44
61,2020-01-03 13:00:00,45
62,2020-01-03 14:00:00,43
63,2020-01-03 15:00:00,42
64,2020-01-03 16:00:00,41
65,2020-01-03 17:00:00,41
66,2020-01-03 18:00:00,42
67,2020-01-03 19:00:00,43
68,2020-01-03 20:00:00,43
69,2020-01-03 21:00:00,41
70,2020-01-03 22:00:00,41
71,2020-01-03 23:00:00,41
72,2020-01-04 00:00:00,41
73,2020-01-04 01:00:00,42
74,2020-01-04 02:00:00,42
75,2020-01-04 03:00:00,42
76,2020-01-04 04:00:00,42
77,2020-01-04 05:00:00,43
78,2020-01-04 06:00:00,42
79,2020-01-04 07:00:00,43
80,2020-01-04 08:00:00,46
81,2020-01-04 09:00:00,49
82,2020-01-04 10:00:00,51
83,2020-01-04 11:00:00,52
84,2020-01-04 12:00:00,53
85,2020-01-04 13:00:00,53
86,2020-01-04 14:00:00,52
87,2020-01-04 15:00:00,50
88,2020-01-04 16:00:00,47
89,2020-01-04 17:00:00,47
90,2020-01-04 18:00:00,48
91,2020-01-04 19:00:00,48
92,2020-01-04 20:00:00,47
93,2020-01-04 21:00:00,46
94,2020-01-04 22:00:00,45
95,2020-01-04 23:00:00,43
96,2020-01-05 00:00:00,40
97,2020-01-05 01:00:00,40
98,2020-01-05 02:00:00,39
99,2020-01-05 03:00:00,39
100,2020-01-05 04:00:00,39
101,2020-01-05 05:00:00,39
102,2020-01-05 06:00:00,40
103,2020-01-05 07:00:00,39
104,2020-01-05 08:00:00,41
105,2020-01-05 09:00:00,44
106,2020-01-05 10:00:00,46
107,2020-01-05 11:00:00,48
108,2020-01-05 12:00:00,48
109,2020-01-05 13:00:00,48
110,2020-01-05 14:00:00,46
111,2020-01-05 15:00:00,44
112,2020-01-05 16:00:00,40
113,2020-01-05 17:00:00,35
114,2020-01-05 18:00:00,36
115,2020-01-05 19:00:00,39
116,2020-01-05 20:00:00,39
117,2020-01-05 21:00:00,38
118,2020-01-05 22:00:00,35
119,2020-01-05 23:00:00,34
120,2020-01-06 00:00:00,33
121,2020-01-06 01:00:00,34
122,2020-01-06 02:00:00,36
123,2020-01-06 03:00:00,37
124,2020-01-06 04:00:00,36
125,2020-01-06 05:00:00,36
126,2020-01-06 06:00:00,36
127,2020-01-06 07:00:00,35
128,2020-01-06 08:00:00,38
129,2020-01-06 09:00:00,41
130,2020-01-06 10:00:00,45
131,2020-01-06 11:00:00,46
132,2020-01-06 12:00:00,45
133,2020-01-06 13:00:00,43
134,2020-01-06 14:00:00,43
135,2020-01-06 15:00:00,41
136,2020-01-06 16:00:00,38
137,2020-01-06 17:00:00,37
138,2020-01-06 18:00:00,37
139,2020-01-06 19:00:00,38
140,2020-01-06 20:00:00,39
141,2020-01-06 21:00:00,38
142,2020-01-06 22:00:00,37
143,2020-01-06 23:00:00,36
144,2020-01-07 00:00:00,35
145,2020-01-07 01:00:00,35
146,2020-01-07 02:00:00,34
147,2020-01-07 03:00:00,33
148,2020-01-07 04:00:00,32
149,2020-01-07 05:00:00,32
150,2020-01-07 06:00:00,35
151,2020-01-07 07:00:00,37
152,2020-01-07 08:00:00,37
153,2020-01-07 09:00:00,39
154,2020-01-07 10:00:00,40
155,2020-01-07 11:00:00,42
156,2020-01-07 12:00:00,42
157,2020-01-07 13:00:00,41
158,2020-01-07 14:00:00,40
159,2020-01-07 15:00:00,38
160,2020-01-07 16:00:00,38
161,2020-01-07 17:00:00,37
162,2020-01-07 18:00:00,38
163,2020-01-07 19:00:00,38
164,2020-01-07 20:00:00,37
165,2020-01-07 21:00:00,35
166,2020-01-07 22:00:00,36
167,2020-01-07 23:00:00,37
168,2020-01-08 00:00:00,37
169,2020-01-08 01:00:00,36
170,2020-01-08 02:00:00,35
171,2020-01-08 03:00:00,34
172,2020-01-08 04:00:00,33
173,2020-01-08 05:00:00,32
174,2020-01-08 06:00:00,33
175,2020-01-08 07:00:00,36
176,2020-01-08 08:00:00,38
177,2020-01-08 09:00:00,40
178,2020-01-08 10:00:00,40
179,2020-01-08 11:00:00,40
180,2020-01-08 12:00:00,40
181,2020-01-08 13:00:00,40
182,2020-01-08 14:00:00,40
183,2020-01-08 15:00:00,38
184,2020-01-08 16:00:00,35
185,2020-01-08 17:00:00,35
186,2020-01-08 18:00:00,36
187,2020-01-08 19:00:00,38
188,2020-01-08 20:00:00,38
189,2020-01-08 21:00:00,36
190,2020-01-08 22:00:00,36
191,2020-01-08 23:00:00,38
192,2020-01-09 00:00:00,39
193,2020-01-09 01:00:00,39
194,2020-01-09 02:00:00,39
195,2020-01-09 03:00:00,40
196,2020-01-09 04:00:00,41
197,2020-01-09 05:00:00,38
198,2020-01-09 06:00:00,40
199,2020-01-09 07:00:00,41
200,2020-01-09 08:00:00,44
201,2020-01-09 09:00:00,45
202,2020-01-09 10:00:00,46
203,2020-01-09 11:00:00,46
204,2020-01-09 12:00:00,46
205,2020-01-09 13:00:00,48
206,2020-01-09 14:00:00,47
207,2020-01-09 15:00:00,44
208,2020-01-09 16:00:00,41
209,2020-01-09 17:00:00,41
210,2020-01-09 18:00:00,43
211,2020-01-09 19:00:00,43
212,2020-01-09 20:00:00,42
213,2020-01-09 21:00:00,41
214,2020-01-09 22:00:00,44
215,2020-01-09 23:00:00,45
216,2020-01-10 00:00:00,45
217,2020-01-10 01:00:00,44
218,2020-01-10 02:00:00,44
219,2020-01-10 03:00:00,44
220,2020-01-10 04:00:00,44
221,2020-01-10 05:00:00,46
222,2020-01-10 06:00:00,49
223,2020-01-10 07:00:00,48
224,2020-01-10 08:00:00,48
225,2020-01-10 09:00:00,48
226,2020-01-10 10:00:00,51
227,2020-01-10 11:00:00,52
228,2020-01-10 12:00:00,52
229,2020-01-10 13:00:00,52
230,2020-01-10 14:00:00,52
231,2020-01-10 15:00:00,50
232,2020-01-10 16:00:00,48
233,2020-01-10 17:00:00,47
234,2020-01-10 18:00:00,47
235,2020-01-10 19:00:00,47
236,2020-01-10 20:00:00,45
237,2020-01-10 21:00:00,42
238,2020-01-10 22:00:00,41
239,2020-01-10 23:00:00,40
240,2020-01-11 00:00:00,39
241,2020-01-11 01:00:00,38
242,2020-01-11 02:00:00,38
243,2020-01-11 03:00:00,37
244,2020-01-11 04:00:00,36
245,2020-01-11 05:00:00,36
246,2020-01-11 06:00:00,36
247,2020-01-11 07:00:00,36
248,2020-01-11 08:00:00,38
249,2020-01-11 09:00:00,41
250,2020-01-11 10:00:00,42
251,2020-01-11 11:00:00,44
252,2020-01-11 12:00:00,44
253,2020-01-11 13:00:00,43
254,2020-01-11 14:00:00,42
255,2020-01-11 15:00:00,39
256,2020-01-11 16:00:00,33
257,2020-01-11 17:00:00,32
258,2020-01-11 18:00:00,36
259,2020-01-11 19:00:00,37
260,2020-01-11 20:00:00,38
261,2020-01-11 21:00:00,35
262,2020-01-11 22:00:00,34
263,2020-01-11 23:00:00,33
264,2020-01-12 00:00:00,34
265,2020-01-12 01:00:00,33
266,2020-01-12 02:00:00,32
267,2020-01-12 03:00:00,32
268,2020-01-12 04:00:00,31
269,2020-01-12 05:00:00,31
270,2020-01-12 06:00:00,32
271,2020-01-12 07:00:00,34
272,2020-01-12 08:00:00,37
273,2020-01-12 09:00:00,40
274,2020-01-12 10:00:00,41
275,2020-01-12 11:00:00,43
276,2020-01-12 12:00:00,42
277,2020-01-12 13:00:00,42
278,2020-01-12 14:00:00,40
279,2020-01-12 15:00:00,37
280,2020-01-12 16:00:00,32
281,2020-01-12 17:00:00,31
282,2020-01-12 18:00:00,34
283,2020-01-12 19:00:00,35
284,2020-01-12 20:00:00,35
285,2020-01-12 21:00:00,35
286,2020-01-12 22:00:00,30
287,2020-01-12 23:00:00,30
288,2020-01-13 00:00:00,29
289,2020-01-13 01:00:00,29
290,2020-01-13 02:00:00,29
291,2020-01-13 03:00:00,29
