,startTime,endTime,total,Solar,Wind Onshore,totalRenewable,percentRenewable
0,2020-01-01 00:00:00,2020-01-01 01:00:00,17750.0,,4891.0,4891.0,28
1,2020-01-01 01:00:00,2020-01-01 02:00:00,17837.0,,5049.0,5049.0,28
2,2020-01-01 02:00:00,2020-01-01 03:00:00,18020.0,,5260.0,5260.0,29
3,2020-01-01 03:00:00,2020-01-01 04:00:00,18304.0,,5511.0,5511.0,30
4,2020-01-01 04:00:00,2020-01-01 05:00:00,19055.0,,5821.0,5821.0,31
5,2020-01-01 05:00:00,2020-01-01 06:00:00,19543.0,,6089.0,6089.0,31
6,2020-01-01 06:00:00,2020-01-01 07:00:00,20068.0,,6246.0,6246.0,31
7,2020-01-01 07:00:00,2020-01-01 08:00:00,20488.0,,6359.0,6359.0,31
8,2020-01-01 08:00:00,2020-01-01 09:00:00,20524.0,,6468.0,6468.0,32
9,2020-01-01 09:00:00,2020-01-01 10:00:00,20706.0,,6555.0,6555.0,32
10,2020-01-01 10:00:00,2020-01-01 11:00:00,20722.0,,6590.0,6590.0,32
11,2020-01-01 11:00:00,2020-01-01 12:00:00,21005.0,,6593.0,6593.0,31
12,2020-01-01 12:00:00,2020-01-01 13:00:00,21065.0,,6559.0,6559.0,31
13,2020-01-01 13:00:00,2020-01-01 14:00:00,21261.0,,6530.0,6530.0,31
14,2020-01-01 14:00:00,2020-01-01 15:00:00,21652.0,,6506.0,6506.0,30
15,2020-01-01 15:00:00,2020-01-01 16:00:00,22342.0,,6504.0,6504.0,29
16,2020-01-01 16:00:00,2020-01-01 17:00:00,22388.0,,6568.0,6568.0,29
17,2020-01-01 17:00:00,2020-01-01 18:00:00,21938.0,,6624.0,6624.0,30
18,2020-01-01 18:00:00,2020-01-01 19:00:00,21685.0,,6696.0,6696.0,31
19,2020-01-01 19:00:00,2020-01-01 20:00:00,21299.0,,6755.0,6755.0,32
20,2020-01-01 20:00:00,2020-01-01 21:00:00,21123.0,,6781.0,6781.0,32
21,2020-01-01 21:00:00,2020-01-01 22:00:00,20849.0,,6774.0,6774.0,32
22,2020-01-01 22:00:00,2020-01-01 23:00:00,20477.0,,6756.0,6756.0,33
23,2020-01-01 23:00:00,2020-01-02 00:00:00,20133.0,,6685.0,6685.0,33
24,2020-01-02 00:00:00,2020-01-02 01:00:00,19661.0,,6617.0,6617.0,34
25,2020-01-02 01:00:00,2020-01-02 02:00:00,19559.0,,6514.0,6514.0,33
26,2020-01-02 02:00:00,2020-01-02 03:00:00,19446.0,,6394.0,6394.0,33
27,2020-01-02 03:00:00,2020-01-02 04:00:00,19442.0,,6323.0,6323.0,33
28,2020-01-02 04:00:00,2020-01-02 05:00:00,20221.0,,6278.0,6278.0,31
29,2020-01-02 05:00:00,2020-01-02 06:00:00,21306.0,,6242.0,6242.0,29
30,2020-01-02 06:00:00,2020-01-02 07:00:00,22157.0,,6273.0,6273.0,28
31,2020-01-02 07:00:00,2020-01-02 08:00:00,22684.0,,6327.0,6327.0,28
32,2020-01-02 08:00:00,2020-01-02 09:00:00,23026.0,,6418.0,6418.0,28
33,2020-01-02 09:00:00,2020-01-02 10:00:00,23152.0,,6487.0,6487.0,28
34,2020-01-02 10:00:00,2020-01-02 11:00:00,23239.0,,6536.0,6536.0,28
35,2020-01-02 11:00:00,2020-01-02 12:00:00,23196.0,,6560.0,6560.0,28
36,2020-01-02 12:00:00,2020-01-02 13:00:00,23213.0,,6533.0,6533.0,28
37,2020-01-02 13:00:00,2020-01-02 14:00:00,23387.0,,6541.0,6541.0,28
38,2020-01-02 14:00:00,2020-01-02 15:00:00,23737.0,,6563.0,6563.0,28
39,2020-01-02 15:00:00,2020-01-02 16:00:00,23890.0,,6598.0,6598.0,28
40,2020-01-02 16:00:00,2020-01-02 17:00:00,23823.0,,6626.0,6626.0,28
41,2020-01-02 17:00:00,2020-01-02 18:00:00,23689.0,,6667.0,6667.0,28
42,2020-01-02 18:00:00,2020-01-02 19:00:00,23301.0,,6728.0,6728.0,29
43,2020-01-02 19:00:00,2020-01-02 20:00:00,22710.0,,6774.0,6774.0,30
44,2020-01-02 20:00:00,2020-01-02 21:00:00,22043.0,,6823.0,6823.0,31
45,2020-01-02 21:00:00,2020-01-02 22:00:00,21428.0,,6868.0,6868.0,32
46,2020-01-02 22:00:00,2020-01-02 23:00:00,20673.0,,6916.0,6916.0,33
47,2020-01-02 23:00:00,2020-01-03 00:00:00,20118.0,,7055.0,7055.0,35
48,2020-01-03 00:00:00,2020-01-03 01:00:00,19796.0,,7128.0,7128.0,36
49,2020-01-03 01:00:00,2020-01-03 02:00:00,19672.0,,7156.0,7156.0,36
50,2020-01-03 02:00:00,2020-01-03 03:00:00,19653.0,,7181.0,7181.0,37
51,2020-01-03 03:00:00,2020-01-03 04:00:00,19718.0,,7201.0,7201.0,37
52,2020-01-03 04:00:00,2020-01-03 05:00:00,20498.0,,7184.0,7184.0,35
53,2020-01-03 05:00:00,2020-01-03 06:00:00,21143.0,,7162.0,7162.0,34
54,2020-01-03 06:00:00,2020-01-03 07:00:00,22011.0,,7118.0,7118.0,32
55,2020-01-03 07:00:00,2020-01-03 08:00:00,22521.0,,6991.0,6991.0,31
56,2020-01-03 08:00:00,2020-01-03 09:00:00,22431.0,,6848.0,6848.0,31
57,2020-01-03 09:00:00,2020-01-03 10:00:00,22507.0,,6832.0,6832.0,30
58,2020-01-03 10:00:00,2020-01-03 11:00:00,22711.0,,6885.0,6885.0,30
59,2020-01-03 11:00:00,2020-01-03 12:00:00,22845.0,,6861.0,6861.0,30
60,2020-01-03 12:00:00,2020-01-03 13:00:00,22744.0,,6680.0,6680.0,29
61,2020-01-03 13:00:00,2020-01-03 14:00:00,22808.0,,6477.0,6477.0,28
